window_id,start_time,end_time,label_source,has_anomaly,anomaly_count,expected_signal,drift_type,severity,raw_event_count
hdfs_window_0000,2008-11-09T00:00:00+00:00,2008-11-09T00:01:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,648
hdfs_window_0001,2008-11-09T00:01:00+00:00,2008-11-09T00:02:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,540
hdfs_window_0002,2008-11-09T00:02:00+00:00,2008-11-09T00:03:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,520
hdfs_window_0003,2008-11-09T00:03:00+00:00,2008-11-09T00:04:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,545
hdfs_window_0004,2008-11-09T00:04:00+00:00,2008-11-09T00:05:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,540,anomaly_window,anomaly_window,high,614
hdfs_window_0005,2008-11-09T00:05:00+00:00,2008-11-09T00:06:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,368,anomaly_window,anomaly_window,high,368
hdfs_window_0006,2008-11-09T00:06:00+00:00,2008-11-09T00:07:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,91,anomaly_window,anomaly_window,high,536
hdfs_window_0007,2008-11-09T00:07:00+00:00,2008-11-09T00:08:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,531
hdfs_window_0008,2008-11-09T00:08:00+00:00,2008-11-09T00:09:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,532
hdfs_window_0009,2008-11-09T00:09:00+00:00,2008-11-09T00:10:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,532
hdfs_window_0010,2008-11-09T00:10:00+00:00,2008-11-09T00:11:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,258,anomaly_window,anomaly_window,high,345
hdfs_window_0011,2008-11-09T00:11:00+00:00,2008-11-09T00:12:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,321,anomaly_window,anomaly_window,high,321
hdfs_window_0012,2008-11-09T00:12:00+00:00,2008-11-09T00:13:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,89,anomaly_window,anomaly_window,high,534
hdfs_window_0013,2008-11-09T00:13:00+00:00,2008-11-09T00:14:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,534
hdfs_window_0014,2008-11-09T00:14:00+00:00,2008-11-09T00:15:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,530
hdfs_window_0015,2008-11-09T00:15:00+00:00,2008-11-09T00:16:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,532
